# file: coastlines.data
#
# These data are derived from 'earthmap.c' (part of xephem), which in turn
# is derived from 'mapdata.c' (part of xearth).  'earthmap.c' and 'mapdata.c'
# include the following notice:
#
#  Copyright (C) 1989, 1990, 1993, 1994 Kirk Lauritz Johnson
#  Permission to use, copy, modify, distribute, and sell this
#  software and its documentation for any purpose is hereby granted
#  without fee, provided that the above copyright notice appear in
#  all copies and that both that copyright notice and this
#  permission notice appear in supporting documentation. The author
#  makes no representations about the suitability of this software
#  for any purpose. It is provided "as is" without express or
#  implied warranty.
#
#  THE AUTHOR DISCLAIMS ALL WARRANTIES WITH REGARD TO THIS SOFTWARE,
#  INCLUDING ALL IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS,
#  IN NO EVENT SHALL THE AUTHOR BE LIABLE FOR ANY SPECIAL, INDIRECT
#  OR CONSEQUENTIAL DAMAGES OR ANY DAMAGES WHATSOEVER RESULTING FROM
#  LOSS OF USE, DATA OR PROFITS, WHETHER IN AN ACTION OF CONTRACT,
#  NEGLIGENCE OR OTHER TORTIOUS ACTION, ARISING OUT OF OR IN
#  CONNECTION WITH THE USE OR PERFORMANCE OF THIS SOFTWARE.

# The three columns are:
#   Longitude (degrees * 100)
#   Latitude (degrees * 100)
#   N (1: first point on a new land mass, 0 otherwise)
#
# Note that a few points (e.g., in far eastern Siberia) are assigned
# longitudes < -180 or > 180;  this allows these land masses to be drawn
# as polygons even if they cross the 180th meridian.

# The last point given for each land mass is the same as the first (except
# for Antarctica, which is circumpolar and thus cannot be rendered as a
# closed polygon on a Mercator projection).

# Long.  Lat. N
  3216   3116 1
  3185   3133 0
  3206   3139 0
  3198   3143 0
  3080   3142 0
  2957   3099 0
  2833   3107 0
  2709   3140 0
  2610   3159 0
  2501   3190 0
  2373   3217 0
  2269   3275 0
  2168   3292 0
  2071   3261 0
  1993   3174 0
  1990   3067 0
  1874   3039 0
  1761   3099 0
  1630   3123 0
  1537   3195 0
  1441   3257 0
  1313   3289 0
  1179   3308 0
  1066   3361 0
  1082   3479 0
  1072   3579 0
  1098   3699 0
   989   3723 0
   864   3694 0
   757   3701 0
   657   3702 0
   530   3666 0
   430   3690 0
   324   3677 0
   221   3660 0
   115   3650 0
    22   3610 0
  -102   3566 0
  -215   3509 0
  -344   3521 0
  -447   3517 0
  -544   3587 0
  -625   3497 0
  -691   3396 0
  -813   3342 0
  -913   3266 0
  -968   3166 0
  -976   3057 0
 -1006   2955 0
 -1100   2877 0
 -1205   2810 0
 -1317   2763 0
 -1374   2661 0
 -1457   2583 0
 -1490   2473 0
 -1579   2392 0
 -1626   2287 0
 -1691   2192 0
 -1669   2077 0
 -1626   1984 0
 -1615   1878 0
 -1605   1763 0
 -1646   1655 0
 -1674   1545 0
 -1693   1433 0
 -1635   1336 0
 -1554   1270 0
 -1661   1258 0
 -1582   1195 0
 -1512   1110 0
 -1440   1024 0
 -1357    951 0
 -1311    861 0
 -1248    767 0
 -1158    698 0
 -1073    630 0
  -976    561 0
  -884    490 0
  -779    442 0
  -673    470 0
  -561    507 0
  -447    519 0
  -332    518 0
  -231    490 0
  -123    511 0
   -17    554 0
   101    590 0
   206    629 0
   322    639 0
   430    638 0
   521    574 0
   557    469 0
   660    440 0
   759    458 0
   880    457 0
   967    392 0
   988    281 0
   967    164 0
   963     62 0
   921    -48 0
   938   -160 0
   989   -247 0
  1064   -336 0
  1142   -420 0
  1207   -507 0
  1257   -599 0
  1285   -723 0
  1334   -829 0
  1310   -927 0
  1352  -1034 0
  1379  -1140 0
  1345  -1248 0
  1266  -1328 0
  1233  -1437 0
  1202  -1549 0
  1182  -1653 0
  1173  -1768 0
  1227  -1868 0
  1287  -1968 0
  1337  -2073 0
  1397  -2174 0
  1453  -2274 0
  1449  -2389 0
  1482  -2498 0
  1496  -2611 0
  1527  -2719 0
  1594  -2818 0
  1678  -2905 0
  1721  -3015 0
  1780  -3119 0
  1833  -3223 0
  1809  -3323 0
  1848  -3420 0
  1955  -3469 0
  2079  -3442 0
  2181  -3434 0
  2304  -3406 0
  2407  -3404 0
  2539  -3400 0
  2655  -3372 0
  2773  -3312 0
  2876  -3236 0
  2968  -3152 0
  3053  -3063 0
  3116  -2961 0
  3206  -2880 0
  3261  -2778 0
  3290  -2666 0
  3299  -2546 0
  3413  -2497 0
  3524  -2444 0
  3546  -2336 0
  3553  -2224 0
  3508  -2115 0
  3474  -2011 0
  3545  -1939 0
  3637  -1871 0
  3717  -1778 0
  3817  -1723 0
  3931  -1675 0
  4012  -1598 0
